date,state,product,production
2008-01-01,Negeri Sembilan,moulding,951
2009-01-01,Negeri Sembilan,moulding,1235
2010-01-01,Negeri Sembilan,moulding,1889
2011-01-01,Negeri Sembilan,moulding,1327
2012-01-01,Negeri Sembilan,moulding,869
2013-01-01,Negeri Sembilan,moulding,169
2014-01-01,Negeri Sembilan,moulding,100
2015-01-01,Negeri Sembilan,moulding,1489
2016-01-01,Negeri Sembilan,moulding,596
2017-01-01,Negeri Sembilan,moulding,625
2018-01-01,Negeri Sembilan,moulding,655
2019-01-01,Negeri Sembilan,moulding,5928
2020-01-01,Negeri Sembilan,moulding,553
2021-01-01,Negeri Sembilan,moulding,248
2000-01-01,Negeri Sembilan,plywood,15119
2001-01-01,Negeri Sembilan,plywood,21778
2002-01-01,Negeri Sembilan,plywood,4353
2003-01-01,Negeri Sembilan,plywood,14746
2004-01-01,Negeri Sembilan,plywood,16259
2005-01-01,Negeri Sembilan,plywood,16077
2006-01-01,Negeri Sembilan,plywood,18634
2007-01-01,Negeri Sembilan,plywood,13464
2008-01-01,Negeri Sembilan,plywood,4413
2009-01-01,Negeri Sembilan,plywood,6030
2010-01-01,Negeri Sembilan,plywood,9600
2011-01-01,Negeri Sembilan,plywood,9037
2012-01-01,Negeri Sembilan,plywood,9100
2013-01-01,Negeri Sembilan,plywood,8441
2014-01-01,Negeri Sembilan,plywood,11594
2015-01-01,Negeri Sembilan,plywood,11786
2016-01-01,Negeri Sembilan,plywood,11950
2017-01-01,Negeri Sembilan,plywood,17193
2018-01-01,Negeri Sembilan,plywood,16581
2019-01-01,Negeri Sembilan,plywood,13083
2020-01-01,Negeri Sembilan,plywood,7896
2021-01-01,Negeri Sembilan,plywood,2784
2000-01-01,Negeri Sembilan,sawn_timber,256465
2001-01-01,Negeri Sembilan,sawn_timber,226391
2002-01-01,Negeri Sembilan,sawn_timber,233567
2003-01-01,Negeri Sembilan,sawn_timber,203441
2004-01-01,Negeri Sembilan,sawn_timber,226897
2005-01-01,Negeri Sembilan,sawn_timber,234775
2006-01-01,Negeri Sembilan,sawn_timber,245738
2007-01-01,Negeri Sembilan,sawn_timber,207628
2008-01-01,Negeri Sembilan,sawn_timber,188423
2009-01-01,Negeri Sembilan,sawn_timber,177158
2010-01-01,Negeri Sembilan,sawn_timber,199074
2011-01-01,Negeri Sembilan,sawn_timber,227677
2012-01-01,Negeri Sembilan,sawn_timber,265066
2013-01-01,Negeri Sembilan,sawn_timber,228556
2014-01-01,Negeri Sembilan,sawn_timber,228589
2015-01-01,Negeri Sembilan,sawn_timber,323446
2016-01-01,Negeri Sembilan,sawn_timber,213675
2017-01-01,Negeri Sembilan,sawn_timber,206419
2018-01-01,Negeri Sembilan,sawn_timber,205614
2019-01-01,Negeri Sembilan,sawn_timber,196168
2020-01-01,Negeri Sembilan,sawn_timber,153511
2021-01-01,Negeri Sembilan,sawn_timber,119864
2000-01-01,Negeri Sembilan,veneer,1062
2002-01-01,Negeri Sembilan,veneer,288
2003-01-01,Negeri Sembilan,veneer,4959
2004-01-01,Negeri Sembilan,veneer,15272
2005-01-01,Negeri Sembilan,veneer,16077
2006-01-01,Negeri Sembilan,veneer,19927
2007-01-01,Negeri Sembilan,veneer,22293
2012-01-01,Negeri Sembilan,veneer,8600
2013-01-01,Negeri Sembilan,veneer,8068
2014-01-01,Negeri Sembilan,veneer,9253
2015-01-01,Negeri Sembilan,veneer,7390
2016-01-01,Negeri Sembilan,veneer,7507
2017-01-01,Negeri Sembilan,veneer,1140
2018-01-01,Negeri Sembilan,veneer,522
2000-01-01,Pahang,blockboard,389
2001-01-01,Pahang,blockboard,21
2002-01-01,Pahang,blockboard,291
2003-01-01,Pahang,blockboard,129
2004-01-01,Pahang,blockboard,34
2005-01-01,Pahang,blockboard,162
2000-01-01,Pahang,logs,1706176
2001-01-01,Pahang,logs,1462046
2002-01-01,Pahang,logs,1629796
2003-01-01,Pahang,logs,1604859
2004-01-01,Pahang,logs,1826066
2005-01-01,Pahang,logs,1953273
2006-01-01,Pahang,logs,1782523
2007-01-01,Pahang,logs,1136901
2008-01-01,Pahang,logs,1121226
2009-01-01,Pahang,logs,1174658
2010-01-01,Pahang,logs,1374041
2011-01-01,Pahang,logs,1407351
2012-01-01,Pahang,logs,1661572
2013-01-01,Pahang,logs,1604992
2014-01-01,Pahang,logs,1778864
2015-01-01,Pahang,logs,2037322
2016-01-01,Pahang,logs,2270648
2017-01-01,Pahang,logs,1812223
2018-01-01,Pahang,logs,1787612
2019-01-01,Pahang,logs,1677034
2020-01-01,Pahang,logs,945482
2021-01-01,Pahang,logs,771684
2000-01-01,Pahang,moulding,198276
2001-01-01,Pahang,moulding,1341307
2002-01-01,Pahang,moulding,32194
2003-01-01,Pahang,moulding,26796
2004-01-01,Pahang,moulding,39275
2005-01-01,Pahang,moulding,39281
2006-01-01,Pahang,moulding,34422
2007-01-01,Pahang,moulding,32999
2008-01-01,Pahang,moulding,22904
2009-01-01,Pahang,moulding,14484
2010-01-01,Pahang,moulding,12531
2011-01-01,Pahang,moulding,32980
2012-01-01,Pahang,moulding,21356
2013-01-01,Pahang,moulding,15310
2014-01-01,Pahang,moulding,18551
2015-01-01,Pahang,moulding,8008
2016-01-01,Pahang,moulding,6112
2017-01-01,Pahang,moulding,12391
2018-01-01,Pahang,moulding,10319
2019-01-01,Pahang,moulding,108903
2020-01-01,Pahang,moulding,94003
2021-01-01,Pahang,moulding,90423
2000-01-01,Pahang,plywood,122611
2001-01-01,Pahang,plywood,95593
2002-01-01,Pahang,plywood,94458
2003-01-01,Pahang,plywood,113604
2004-01-01,Pahang,plywood,144412
2005-01-01,Pahang,plywood,163870
2006-01-01,Pahang,plywood,159886
2007-01-01,Pahang,plywood,163421
2008-01-01,Pahang,plywood,164652
2009-01-01,Pahang,plywood,153305
2010-01-01,Pahang,plywood,143640
2011-01-01,Pahang,plywood,144053
2012-01-01,Pahang,plywood,157439
2013-01-01,Pahang,plywood,129395
2014-01-01,Pahang,plywood,116746
2015-01-01,Pahang,plywood,136354
2016-01-01,Pahang,plywood,135258
2017-01-01,Pahang,plywood,138108
2018-01-01,Pahang,plywood,163421
2019-01-01,Pahang,plywood,122477
2020-01-01,Pahang,plywood,71818
2021-01-01,Pahang,plywood,39617
2000-01-01,Pahang,sawn_timber,928675
2001-01-01,Pahang,sawn_timber,761323
2002-01-01,Pahang,sawn_timber,771903
2003-01-01,Pahang,sawn_timber,738670
2004-01-01,Pahang,sawn_timber,920199
2005-01-01,Pahang,sawn_timber,914603
2006-01-01,Pahang,sawn_timber,842766
2007-01-01,Pahang,sawn_timber,679867
2008-01-01,Pahang,sawn_timber,559823
2009-01-01,Pahang,sawn_timber,464607
2010-01-01,Pahang,sawn_timber,613380
2011-01-01,Pahang,sawn_timber,587975
2012-01-01,Pahang,sawn_timber,585078
2013-01-01,Pahang,sawn_timber,547188
2014-01-01,Pahang,sawn_timber,648995
2015-01-01,Pahang,sawn_timber,645979
2016-01-01,Pahang,sawn_timber,740304
2017-01-01,Pahang,sawn_timber,736614
2018-01-01,Pahang,sawn_timber,793598
2019-01-01,Pahang,sawn_timber,747654
2020-01-01,Pahang,sawn_timber,514684
2021-01-01,Pahang,sawn_timber,466577
2000-01-01,Pahang,veneer,24681
2001-01-01,Pahang,veneer,15571
2002-01-01,Pahang,veneer,11179
2003-01-01,Pahang,veneer,19632
2004-01-01,Pahang,veneer,26541
2005-01-01,Pahang,veneer,56758
2006-01-01,Pahang,veneer,60043
2007-01-01,Pahang,veneer,6570
2008-01-01,Pahang,veneer,4617
2009-01-01,Pahang,veneer,2755
2010-01-01,Pahang,veneer,3206
2011-01-01,Pahang,veneer,2452
2013-01-01,Pahang,veneer,12275
2014-01-01,Pahang,veneer,30254
2015-01-01,Pahang,veneer,5664
2016-01-01,Pahang,veneer,34429
2017-01-01,Pahang,veneer,33918
