State Name,YEAR,crop_type,Total_Production
Terengganu,2019,fruits,57368.9
Terengganu,2019,industrial_crops,16309.2
Terengganu,2019,paddy,71382.0
Terengganu,2019,vegetables,15264.2
Terengganu,2020,coconut,15513.6
Terengganu,2020,fruits,34879.6
Terengganu,2020,industrial_crops,15645.2
Terengganu,2020,paddy,73723.0
Terengganu,2020,vegetables,11874.2
Terengganu,2021,coconut,20120.7
Terengganu,2021,fruits,49649.6
Terengganu,2021,industrial_crops,20282.1
Terengganu,2021,paddy,72023.0
Terengganu,2021,vegetables,15112.1
Terengganu,2022,coconut,18248.3
Terengganu,2022,fruits,27278.9
Terengganu,2022,industrial_crops,18454.1
Terengganu,2022,paddy,62712.0
Terengganu,2022,vegetables,15052.6
